?s	?lang1	?lang2
<http://purl.obolibrary.org/obo/LANG_1000014>	"Eastern Abnaki"@en	""
<http://purl.obolibrary.org/obo/LANG_1000015>	"Afar"@en	"Danakil-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1000016>	"Aasáx"@en	""
<http://purl.obolibrary.org/obo/LANG_1000017>	"Arvanitika Albanian"@en	""
<http://purl.obolibrary.org/obo/LANG_1000018>	"Abau"@en	""
<http://purl.obolibrary.org/obo/LANG_1000019>	"Solong"@en	""
<http://purl.obolibrary.org/obo/LANG_1000020>	"Mandobo Atas"@en	""
<http://purl.obolibrary.org/obo/LANG_1000021>	"Amarasi"@en	""
<http://purl.obolibrary.org/obo/LANG_1000022>	"Abé"@en	""
<http://purl.obolibrary.org/obo/LANG_1000023>	"Bankon"@en	""
<http://purl.obolibrary.org/obo/LANG_1000024>	"Ambala Ayta"@en	""
<http://purl.obolibrary.org/obo/LANG_1000025>	"Manide"@en	""
<http://purl.obolibrary.org/obo/LANG_1000026>	"Western Abnaki"@en	""
<http://purl.obolibrary.org/obo/LANG_1000027>	"Abai Sungai"@en	""
<http://purl.obolibrary.org/obo/LANG_1000028>	"Abaga"@en	""
<http://purl.obolibrary.org/obo/LANG_1000029>	"Tajiki Arabic"@en	""
<http://purl.obolibrary.org/obo/LANG_1000030>	"Abidji"@en	""
<http://purl.obolibrary.org/obo/LANG_1000031>	"Aka-Bea"@en	""
<http://purl.obolibrary.org/obo/LANG_1000032>	"Abkhazian"@en	"Abchasisch"@de
<http://purl.obolibrary.org/obo/LANG_1000033>	"Lampung Nyo"@en	""
<http://purl.obolibrary.org/obo/LANG_1000034>	"Abanyom"@en	""
<http://purl.obolibrary.org/obo/LANG_1000035>	"Abua"@en	""
<http://purl.obolibrary.org/obo/LANG_1000036>	"Abon"@en	""
<http://purl.obolibrary.org/obo/LANG_1000037>	"Abellen Ayta"@en	""
<http://purl.obolibrary.org/obo/LANG_1000038>	"Abaza"@en	""
<http://purl.obolibrary.org/obo/LANG_1000039>	"Abron"@en	""
<http://purl.obolibrary.org/obo/LANG_1000040>	"Ambonese Malay"@en	""
<http://purl.obolibrary.org/obo/LANG_1000041>	"Ambulas"@en	""
<http://purl.obolibrary.org/obo/LANG_1000042>	"Abure"@en	""
<http://purl.obolibrary.org/obo/LANG_1000043>	"Baharna Arabic"@en	""
<http://purl.obolibrary.org/obo/LANG_1000044>	"Pal"@en	""
<http://purl.obolibrary.org/obo/LANG_1000045>	"Inabaknon"@en	""
<http://purl.obolibrary.org/obo/LANG_1000046>	"Aneme Wake"@en	""
<http://purl.obolibrary.org/obo/LANG_1000047>	"Abui"@en	""
<http://purl.obolibrary.org/obo/LANG_1000048>	"Achagua"@en	""
<http://purl.obolibrary.org/obo/LANG_1000049>	"Áncá"@en	""
<http://purl.obolibrary.org/obo/LANG_1000050>	"Gikyode"@en	""
<http://purl.obolibrary.org/obo/LANG_1000051>	"Achinese"@en	"Aceh-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1000052>	"Saint Lucian Creole French"@en	""
<http://purl.obolibrary.org/obo/LANG_1000053>	"Acoli"@en	"Acholi-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1000054>	"Aka-Cari"@en	""
<http://purl.obolibrary.org/obo/LANG_1000055>	"Aka-Kora"@en	""
<http://purl.obolibrary.org/obo/LANG_1000056>	"Akar-Bale"@en	""
<http://purl.obolibrary.org/obo/LANG_1000057>	"Mesopotamian Arabic"@en	""
<http://purl.obolibrary.org/obo/LANG_1000058>	"Achang"@en	""
<http://purl.obolibrary.org/obo/LANG_1000059>	"Eastern Acipa"@en	""
<http://purl.obolibrary.org/obo/LANG_1000060>	"Ta'izzi-Adeni Arabic"@en	""
<http://purl.obolibrary.org/obo/LANG_1000061>	"Achi"@en	""
<http://purl.obolibrary.org/obo/LANG_1000062>	"Acroá"@en	""
<http://purl.obolibrary.org/obo/LANG_1000063>	"Achterhoeks"@en	""
<http://purl.obolibrary.org/obo/LANG_1000064>	"Achuar-Shiwiar"@en	""
<http://purl.obolibrary.org/obo/LANG_1000065>	"Achumawi"@en	""
<http://purl.obolibrary.org/obo/LANG_1000066>	"Hijazi Arabic"@en	""
<http://purl.obolibrary.org/obo/LANG_1000067>	"Omani Arabic"@en	""
<http://purl.obolibrary.org/obo/LANG_1000068>	"Cypriot Arabic"@en	""
<http://purl.obolibrary.org/obo/LANG_1000069>	"Acheron"@en	""
<http://purl.obolibrary.org/obo/LANG_1000070>	"Adangme"@en	"Adangme-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1000071>	"Adabe"@en	""
<http://purl.obolibrary.org/obo/LANG_1000072>	"Lidzonka"@en	""
<http://purl.obolibrary.org/obo/LANG_1000073>	"Adele"@en	""
<http://purl.obolibrary.org/obo/LANG_1000074>	"Dhofari Arabic"@en	""
<http://purl.obolibrary.org/obo/LANG_1000075>	"Andegerebinha"@en	""
<http://purl.obolibrary.org/obo/LANG_1000076>	"Adhola"@en	""
<http://purl.obolibrary.org/obo/LANG_1000077>	"Adi"@en	""
<http://purl.obolibrary.org/obo/LANG_1000078>	"Adioukrou"@en	""
<http://purl.obolibrary.org/obo/LANG_1000079>	"Galo"@en	""
<http://purl.obolibrary.org/obo/LANG_1000080>	"Adang"@en	""
<http://purl.obolibrary.org/obo/LANG_1000081>	"Abu"@en	""
<http://purl.obolibrary.org/obo/LANG_1000082>	"Adangbe"@en	""
<http://purl.obolibrary.org/obo/LANG_1000083>	"Adonara"@en	""
<http://purl.obolibrary.org/obo/LANG_1000084>	"Adamorobe Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1000085>	"Adnyamathanha"@en	""
<http://purl.obolibrary.org/obo/LANG_1000086>	"Aduge"@en	""
<http://purl.obolibrary.org/obo/LANG_1000087>	"Amundava"@en	""
<http://purl.obolibrary.org/obo/LANG_1000088>	"Amdo Tibetan"@en	""
<http://purl.obolibrary.org/obo/LANG_1000089>	"Adyghe"@en	"Adygisch"@de
<http://purl.obolibrary.org/obo/LANG_1000090>	"Adzera"@en	""
<http://purl.obolibrary.org/obo/LANG_1000091>	"Areba"@en	""
<http://purl.obolibrary.org/obo/LANG_1000092>	"Tunisian Arabic"@en	""
<http://purl.obolibrary.org/obo/LANG_1000093>	"Saidi Arabic"@en	""
<http://purl.obolibrary.org/obo/LANG_1000094>	"Argentine Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1000095>	"Northeast Pashai"@en	""
<http://purl.obolibrary.org/obo/LANG_1000096>	"Haeke"@en	""
<http://purl.obolibrary.org/obo/LANG_1000097>	"Ambele"@en	""
<http://purl.obolibrary.org/obo/LANG_1000098>	"Arem"@en	""
<http://purl.obolibrary.org/obo/LANG_1000099>	"Armenian Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1000100>	"Aer"@en	""
<http://purl.obolibrary.org/obo/LANG_1000101>	"Eastern Arrernte"@en	""
<http://purl.obolibrary.org/obo/LANG_1000102>	"Alsea"@en	""
<http://purl.obolibrary.org/obo/LANG_1000103>	"Akeu"@en	""
<http://purl.obolibrary.org/obo/LANG_1000104>	"Ambakich"@en	""
<http://purl.obolibrary.org/obo/LANG_1000105>	"Amele"@en	""
<http://purl.obolibrary.org/obo/LANG_1000106>	"Aeka"@en	""
<http://purl.obolibrary.org/obo/LANG_1000107>	"Gulf Arabic"@en	""
<http://purl.obolibrary.org/obo/LANG_1000108>	"Andai"@en	""
<http://purl.obolibrary.org/obo/LANG_1000109>	"Putukwam"@en	""
<http://purl.obolibrary.org/obo/LANG_1000110>	"Afghan Sign Language"@en	""
<http://purl.obolibrary.org/obo/LANG_1000111>	"Afrihili"@en	"Afrihili"@de
<http://purl.obolibrary.org/obo/LANG_1000112>	"Akrukay"@en	""
<http://purl.obolibrary.org/obo/LANG_1000113>	"Nanubae"@en	""
<http://purl.obolibrary.org/obo/LANG_1000114>	"Defaka"@en	""
<http://purl.obolibrary.org/obo/LANG_1000115>	"Eloyi"@en	""
<http://purl.obolibrary.org/obo/LANG_1000116>	"Tapei"@en	""
<http://purl.obolibrary.org/obo/LANG_1000117>	"Afrikaans"@en	"Afrikaans"@de
<http://purl.obolibrary.org/obo/LANG_1000118>	"Afro-Seminole Creole"@en	""
<http://purl.obolibrary.org/obo/LANG_1000119>	"Afitti"@en	""
<http://purl.obolibrary.org/obo/LANG_1000120>	"Awutu"@en	""
<http://purl.obolibrary.org/obo/LANG_1000121>	"Obokuitai"@en	""
<http://purl.obolibrary.org/obo/LANG_1000122>	"Aguano"@en	""
<http://purl.obolibrary.org/obo/LANG_1000123>	"Legbo"@en	""
<http://purl.obolibrary.org/obo/LANG_1000124>	"Agatu"@en	""
<http://purl.obolibrary.org/obo/LANG_1000125>	"Agarabi"@en	""
<http://purl.obolibrary.org/obo/LANG_1000126>	"Angal"@en	""
<http://purl.obolibrary.org/obo/LANG_1000127>	"Arguni"@en	""
<http://purl.obolibrary.org/obo/LANG_1000128>	"Angor"@en	""
<http://purl.obolibrary.org/obo/LANG_1000129>	"Ngelima"@en	""
<http://purl.obolibrary.org/obo/LANG_1000130>	"Agariya"@en	""
<http://purl.obolibrary.org/obo/LANG_1000131>	"Argobba"@en	""
<http://purl.obolibrary.org/obo/LANG_1000132>	"Isarog Agta"@en	""
<http://purl.obolibrary.org/obo/LANG_1000133>	"Fembe"@en	""
<http://purl.obolibrary.org/obo/LANG_1000134>	"Angaataha"@en	""
<http://purl.obolibrary.org/obo/LANG_1000135>	"Agutaynen"@en	""
<http://purl.obolibrary.org/obo/LANG_1000136>	"Tainae"@en	""
<http://purl.obolibrary.org/obo/LANG_1000137>	"Aghem"@en	""
<http://purl.obolibrary.org/obo/LANG_1000138>	"Aguaruna"@en	""
<http://purl.obolibrary.org/obo/LANG_1000139>	"Esimbi"@en	""
<http://purl.obolibrary.org/obo/LANG_1000140>	"Central Cagayan Agta"@en	""
<http://purl.obolibrary.org/obo/LANG_1000141>	"Aguacateco"@en	""
<http://purl.obolibrary.org/obo/LANG_1000142>	"Remontado Dumagat"@en	""
<http://purl.obolibrary.org/obo/LANG_1000143>	"Kahua"@en	""
<http://purl.obolibrary.org/obo/LANG_1000144>	"Aghul"@en	""
<http://purl.obolibrary.org/obo/LANG_1000145>	"Southern Alta"@en	""
<http://purl.obolibrary.org/obo/LANG_1000146>	"Mt. Iriga Agta"@en	""
<http://purl.obolibrary.org/obo/LANG_1000147>	"Ahanta"@en	""
<http://purl.obolibrary.org/obo/LANG_1000148>	"Axamb"@en	""
<http://purl.obolibrary.org/obo/LANG_1000149>	"Qimant"@en	""
<http://purl.obolibrary.org/obo/LANG_1000150>	"Aghu"@en	""
<http://purl.obolibrary.org/obo/LANG_1000151>	"Tiagbamrin Aizi"@en	""
<http://purl.obolibrary.org/obo/LANG_1000152>	"Akha"@en	""
<http://purl.obolibrary.org/obo/LANG_1000153>	"Igo"@en	""
<http://purl.obolibrary.org/obo/LANG_1000154>	"Mobumrin Aizi"@en	""
<http://purl.obolibrary.org/obo/LANG_1000155>	"Àhàn"@en	""
<http://purl.obolibrary.org/obo/LANG_1000156>	"Ahom"@en	""
<http://purl.obolibrary.org/obo/LANG_1000157>	"Aproumu Aizi"@en	""
<http://purl.obolibrary.org/obo/LANG_1000158>	"Ahirani"@en	""
<http://purl.obolibrary.org/obo/LANG_1000159>	"Ashe"@en	""
<http://purl.obolibrary.org/obo/LANG_1000160>	"Ahtena"@en	""
<http://purl.obolibrary.org/obo/LANG_1000161>	"Arosi"@en	""
<http://purl.obolibrary.org/obo/LANG_1000162>	"Ainu (China)"@en	""
<http://purl.obolibrary.org/obo/LANG_1000163>	"Ainbai"@en	""
<http://purl.obolibrary.org/obo/LANG_1000164>	"Alngith"@en	""
<http://purl.obolibrary.org/obo/LANG_1000165>	"Amara"@en	""
<http://purl.obolibrary.org/obo/LANG_1000166>	"Agi"@en	""
<http://purl.obolibrary.org/obo/LANG_1000167>	"Antigua and Barbuda Creole English"@en	""
<http://purl.obolibrary.org/obo/LANG_1000168>	"Ai-Cham"@en	""
<http://purl.obolibrary.org/obo/LANG_1000169>	"Assyrian Neo-Aramaic"@en	""
<http://purl.obolibrary.org/obo/LANG_1000170>	"Lishanid Noshan"@en	""
<http://purl.obolibrary.org/obo/LANG_1000171>	"Ake"@en	""
<http://purl.obolibrary.org/obo/LANG_1000172>	"Aimele"@en	""
<http://purl.obolibrary.org/obo/LANG_1000173>	"Aimol"@en	""
<http://purl.obolibrary.org/obo/LANG_1000174>	"Ainu (Japan)"@en	"Ainu-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1000175>	"Aiton"@en	""
<http://purl.obolibrary.org/obo/LANG_1000176>	"Burumakok"@en	""
<http://purl.obolibrary.org/obo/LANG_1000177>	"Aimaq"@en	""
<http://purl.obolibrary.org/obo/LANG_1000178>	"Airoran"@en	""
<http://purl.obolibrary.org/obo/LANG_1000179>	"Arikem"@en	""
<http://purl.obolibrary.org/obo/LANG_1000180>	"Aari"@en	""
<http://purl.obolibrary.org/obo/LANG_1000181>	"Aighon"@en	""
<http://purl.obolibrary.org/obo/LANG_1000182>	"Ali"@en	""
<http://purl.obolibrary.org/obo/LANG_1000183>	"Aja (South Sudan)"@en	""
<http://purl.obolibrary.org/obo/LANG_1000184>	"Aja (Benin)"@en	""
<http://purl.obolibrary.org/obo/LANG_1000185>	"Ajië"@en	""
<http://purl.obolibrary.org/obo/LANG_1000186>	"Andajin"@en	""
<http://purl.obolibrary.org/obo/LANG_1000187>	"South Levantine Arabic"@en	""
<http://purl.obolibrary.org/obo/LANG_1000188>	"Judeo-Tunisian Arabic"@en	""
<http://purl.obolibrary.org/obo/LANG_1000189>	"Judeo-Moroccan Arabic"@en	""
<http://purl.obolibrary.org/obo/LANG_1000190>	"Ajawa"@en	""
<http://purl.obolibrary.org/obo/LANG_1000191>	"Amri Karbi"@en	""
<http://purl.obolibrary.org/obo/LANG_1000192>	"Akan"@en	"Akan-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1000193>	"Batak Angkola"@en	""
<http://purl.obolibrary.org/obo/LANG_1000194>	"Mpur"@en	""
<http://purl.obolibrary.org/obo/LANG_1000195>	"Ukpet-Ehom"@en	""
<http://purl.obolibrary.org/obo/LANG_1000196>	"Akawaio"@en	""
<http://purl.obolibrary.org/obo/LANG_1000197>	"Akpa"@en	""
<http://purl.obolibrary.org/obo/LANG_1000198>	"Anakalangu"@en	""
<http://purl.obolibrary.org/obo/LANG_1000199>	"Angal Heneng"@en	""
<http://purl.obolibrary.org/obo/LANG_1000200>	"Aiome"@en	""
<http://purl.obolibrary.org/obo/LANG_1000201>	"Aka-Jeru"@en	""
<http://purl.obolibrary.org/obo/LANG_1000202>	"Akkadian"@en	"Akkadisch"@de
<http://purl.obolibrary.org/obo/LANG_1000203>	"Aklanon"@en	""
<http://purl.obolibrary.org/obo/LANG_1000204>	"Aka-Bo"@en	""
<http://purl.obolibrary.org/obo/LANG_1000205>	"Akurio"@en	""
<http://purl.obolibrary.org/obo/LANG_1000206>	"Siwu"@en	""
<http://purl.obolibrary.org/obo/LANG_1000207>	"Ak"@en	""
<http://purl.obolibrary.org/obo/LANG_1000208>	"Araki"@en	""
<http://purl.obolibrary.org/obo/LANG_1000209>	"Akaselem"@en	""
<http://purl.obolibrary.org/obo/LANG_1000210>	"Akolet"@en	""
<http://purl.obolibrary.org/obo/LANG_1000211>	"Akum"@en	""
<http://purl.obolibrary.org/obo/LANG_1000212>	"Akhvakh"@en	""
<http://purl.obolibrary.org/obo/LANG_1000213>	"Akwa"@en	""
<http://purl.obolibrary.org/obo/LANG_1000214>	"Aka-Kede"@en	""
<http://purl.obolibrary.org/obo/LANG_1000215>	"Aka-Kol"@en	""
<http://purl.obolibrary.org/obo/LANG_1000216>	"Alabama"@en	""
<http://purl.obolibrary.org/obo/LANG_1000217>	"Alago"@en	""
<http://purl.obolibrary.org/obo/LANG_1000218>	"Qawasqar"@en	""
<http://purl.obolibrary.org/obo/LANG_1000219>	"Alladian"@en	""
<http://purl.obolibrary.org/obo/LANG_1000220>	"Aleut"@en	"Aleutisch"@de
<http://purl.obolibrary.org/obo/LANG_1000221>	"Alege"@en	""
<http://purl.obolibrary.org/obo/LANG_1000222>	"Alawa"@en	""
<http://purl.obolibrary.org/obo/LANG_1000223>	"Amaimon"@en	""
<http://purl.obolibrary.org/obo/LANG_1000224>	"Alangan"@en	""
<http://purl.obolibrary.org/obo/LANG_1000225>	"Alak"@en	""
<http://purl.obolibrary.org/obo/LANG_1000226>	"Allar"@en	""
<http://purl.obolibrary.org/obo/LANG_1000227>	"Amblong"@en	""
<http://purl.obolibrary.org/obo/LANG_1000228>	"Gheg Albanian"@en	""
<http://purl.obolibrary.org/obo/LANG_1000229>	"Larike-Wakasihu"@en	""
<http://purl.obolibrary.org/obo/LANG_1000230>	"Alune"@en	""
<http://purl.obolibrary.org/obo/LANG_1000231>	"Algonquin"@en	""
<http://purl.obolibrary.org/obo/LANG_1000232>	"Alutor"@en	""
<http://purl.obolibrary.org/obo/LANG_1000233>	"Tosk Albanian"@en	""
<http://purl.obolibrary.org/obo/LANG_1000234>	"Southern Altai"@en	"Altaisch"@de
<http://purl.obolibrary.org/obo/LANG_1000235>	"'Are'are"@en	""
<http://purl.obolibrary.org/obo/LANG_1000236>	"Alaba-K’abeena"@en	""
<http://purl.obolibrary.org/obo/LANG_1000237>	"Amol"@en	""
<http://purl.obolibrary.org/obo/LANG_1000238>	"Alyawarr"@en	""
<http://purl.obolibrary.org/obo/LANG_1000239>	"Alur"@en	""
<http://purl.obolibrary.org/obo/LANG_1000240>	"Amanayé"@en	""
<http://purl.obolibrary.org/obo/LANG_1000241>	"Ambo"@en	""
<http://purl.obolibrary.org/obo/LANG_1000242>	"Amahuaca"@en	""
<http://purl.obolibrary.org/obo/LANG_1000243>	"Yanesha'"@en	""
<http://purl.obolibrary.org/obo/LANG_1000244>	"Hamer-Banna"@en	""
<http://purl.obolibrary.org/obo/LANG_1000245>	"Amurdak"@en	""
<http://purl.obolibrary.org/obo/LANG_1000246>	"Amharic"@en	"Amharisch"@de
<http://purl.obolibrary.org/obo/LANG_1000247>	"Amis"@en	""
<http://purl.obolibrary.org/obo/LANG_1000248>	"Amdang"@en	""
<http://purl.obolibrary.org/obo/LANG_1000249>	"Ambai"@en	""
<http://purl.obolibrary.org/obo/LANG_1000250>	"War-Jaintia"@en	""
<http://purl.obolibrary.org/obo/LANG_1000251>	"Ama (Papua New Guinea)"@en	""
<http://purl.obolibrary.org/obo/LANG_1000252>	"Amanab"@en	""
<http://purl.obolibrary.org/obo/LANG_1000253>	"Amo"@en	""
<http://purl.obolibrary.org/obo/LANG_1000254>	"Alamblak"@en	""
<http://purl.obolibrary.org/obo/LANG_1000255>	"Amahai"@en	""
<http://purl.obolibrary.org/obo/LANG_1000256>	"Amarakaeri"@en	""
<http://purl.obolibrary.org/obo/LANG_1000257>	"Southern Amami-Oshima"@en	""
<http://purl.obolibrary.org/obo/LANG_1000258>	"Amto"@en	""
<http://purl.obolibrary.org/obo/LANG_1000259>	"Guerrero Amuzgo"@en	""
<http://purl.obolibrary.org/obo/LANG_1000260>	"Ambelau"@en	""
<http://purl.obolibrary.org/obo/LANG_1000261>	"Western Neo-Aramaic"@en	""
<http://purl.obolibrary.org/obo/LANG_1000262>	"Anmatyerre"@en	""
<http://purl.obolibrary.org/obo/LANG_1000263>	"Ami"@en	""
<http://purl.obolibrary.org/obo/LANG_1000264>	"Atampaya"@en	""
<http://purl.obolibrary.org/obo/LANG_1000265>	"Andaqui"@en	""
<http://purl.obolibrary.org/obo/LANG_1000266>	"Andoa"@en	""
<http://purl.obolibrary.org/obo/LANG_1000267>	"Ngas"@en	""
<http://purl.obolibrary.org/obo/LANG_1000268>	"Ansus"@en	""
<http://purl.obolibrary.org/obo/LANG_1000269>	"Xârâcùù"@en	""
<http://purl.obolibrary.org/obo/LANG_1000270>	"Animere"@en	""
<http://purl.obolibrary.org/obo/LANG_1000271>	"Old English (ca. 450-1100)"@en	"Altenglisch"@de
<http://purl.obolibrary.org/obo/LANG_1000272>	"Nend"@en	""
<http://purl.obolibrary.org/obo/LANG_1000273>	"Andi"@en	""
<http://purl.obolibrary.org/obo/LANG_1000274>	"Anor"@en	""
<http://purl.obolibrary.org/obo/LANG_1000275>	"Goemai"@en	""
<http://purl.obolibrary.org/obo/LANG_1000276>	"Anu-Hkongso Chin"@en	""
<http://purl.obolibrary.org/obo/LANG_1000277>	"Anal"@en	""
<http://purl.obolibrary.org/obo/LANG_1000278>	"Obolo"@en	""
<http://purl.obolibrary.org/obo/LANG_1000279>	"Andoque"@en	""
<http://purl.obolibrary.org/obo/LANG_1000280>	"Angika"@en	"Anga-Sprache"@de
<http://purl.obolibrary.org/obo/LANG_1000281>	"Jarawa (India)"@en	""
<http://purl.obolibrary.org/obo/LANG_1000282>	"Andh"@en	""
<http://purl.obolibrary.org/obo/LANG_1000283>	"Anserma"@en	""
<http://purl.obolibrary.org/obo/LANG_1000284>	"Antakarinya"@en	""
<http://purl.obolibrary.org/obo/LANG_1000285>	"Anuak"@en	""
<http://purl.obolibrary.org/obo/LANG_1000286>	"Denya"@en	""
<http://purl.obolibrary.org/obo/LANG_1000287>	"Anaang"@en	""
<http://purl.obolibrary.org/obo/LANG_1000288>	"Andra-Hus"@en	""
<http://purl.obolibrary.org/obo/LANG_1000289>	"Anyin"@en	""
<http://purl.obolibrary.org/obo/LANG_1000290>	"Anem"@en	""
<http://purl.obolibrary.org/obo/LANG_1000291>	"Angolar"@en	""
<http://purl.obolibrary.org/obo/LANG_1000292>	"Abom"@en	""
<http://purl.obolibrary.org/obo/LANG_1000293>	"Pemon"@en	""
<http://purl.obolibrary.org/obo/LANG_1000294>	"Andarum"@en	""
<http://purl.obolibrary.org/obo/LANG_1000295>	"Angal Enen"@en	""
<http://purl.obolibrary.org/obo/LANG_1000296>	"Bragat"@en	""
<http://purl.obolibrary.org/obo/LANG_1000297>	"Angoram"@en	""
<http://purl.obolibrary.org/obo/LANG_1000298>	"Arma"@en	""
<http://purl.obolibrary.org/obo/LANG_1000299>	"Anindilyakwa"@en	""
<http://purl.obolibrary.org/obo/LANG_1000300>	"Mufian"@en	""
<http://purl.obolibrary.org/obo/LANG_1000301>	"Arhö"@en	""
<http://purl.obolibrary.org/obo/LANG_1000302>	"Alor"@en	""
<http://purl.obolibrary.org/obo/LANG_1000303>	"Ömie"@en	""
<http://purl.obolibrary.org/obo/LANG_1000304>	"Bumbita Arapesh"@en	""
<http://purl.obolibrary.org/obo/LANG_1000305>	"Aore"@en	""
<http://purl.obolibrary.org/obo/LANG_1000306>	"Taikat"@en	""
<http://purl.obolibrary.org/obo/LANG_1000307>	"Atong (India)"@en	""
<http://purl.obolibrary.org/obo/LANG_1000308>	"A'ou"@en	""
